Date,Military Time,Isolate ID,PCR Date,Pyro Machine,Well,DispSeq,Tech,Region,Pyromark File Name (Machine #-date-military time),Fwd Primer,Rev Primer,Seq Primer
4/19/2011,,Dg-008,4/18/2011,1,C8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-009,4/18/2011,1,A1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-010,4/18/2011,1,A2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-011,4/18/2011,1,A3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-012,4/18/2011,1,A4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-013,4/18/2011,1,A5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-014,4/18/2011,1,A6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-015,4/18/2011,1,A7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-016,4/18/2011,1,A8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-001,4/18/2011,1,B1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-002,4/18/2011,1,B2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-003,4/18/2011,1,B3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-004,4/18/2011,1,B4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,ES-005,4/18/2011,1,B5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S dg es,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
